inventory_id,part_num,color_id,quantity,is_spare,img_url
22,3710,0,2,False,https://cdn.rebrickable.com/media/parts/elements/371026.jpg
22,3795,71,1,False,https://cdn.rebrickable.com/media/parts/elements/4211452.jpg
22,4081b,72,1,False,https://cdn.rebrickable.com/media/parts/elements/4210828.jpg
22,41769,72,4,False,https://cdn.rebrickable.com/media/parts/elements/4210782.jpg
22,41770,72,4,False,https://cdn.rebrickable.com/media/parts/elements/4210788.jpg
22,43719,72,1,False,https://cdn.rebrickable.com/media/parts/elements/4234938.jpg
22,43722,71,2,False,https://cdn.rebrickable.com/media/parts/elements/4211791.jpg
22,43723,71,2,False,https://cdn.rebrickable.com/media/parts/elements/4211794.jpg
22,51739,71,3,False,https://cdn.rebrickable.com/media/parts/elements/4252368.jpg
22,54200,71,2,False,https://cdn.rebrickable.com/media/parts/elements/4244372.jpg
22,54383,71,1,False,https://cdn.rebrickable.com/media/parts/elements/4282786.jpg
22,54384,71,1,False,https://cdn.rebrickable.com/media/parts/elements/4282789.jpg
22,6141,41,1,True,https://cdn.rebrickable.com/media/parts/elements/4163917.jpg
22,85984,72,3,False,https://cdn.rebrickable.com/media/parts/elements/4567887.jpg
22,98138,71,1,True,https://cdn.rebrickable.com/media/parts/elements/4650260.jpg
22,99206,71,2,False,https://cdn.rebrickable.com/media/parts/elements/4654577.jpg
25,88646,0,1,False,https://cdn.rebrickable.com/media/parts/elements/4571146.jpg
26,14226c21,0,3,False,https://cdn.rebrickable.com/media/parts/ldraw/0/75924.png
26,2340pr0003,15,1,False,https://cdn.rebrickable.com/media/parts/photos/15/2340px2-15-f45da0e4-4753-425f-8c4a-31cacf3130dd.jpg
26,2340pr0004,15,1,False,https://cdn.rebrickable.com/media/parts/photos/15/2340px3-15-c271941e-7467-4c3e-abb2-d0bf3c818d1d.jpg
26,2412b,383,2,False,https://cdn.rebrickable.com/media/parts/ldraw/383/2412b.png
26,2421,0,1,False,https://cdn.rebrickable.com/media/parts/elements/242126.jpg
26,2432,4,1,False,https://cdn.rebrickable.com/media/parts/elements/243221.jpg
26,2437,33,1,False,https://cdn.rebrickable.com/media/parts/elements/4114165.jpg
26,2454a,15,1,False,https://cdn.rebrickable.com/media/parts/ldraw/15/2454a.png
26,2460,7,1,False,https://cdn.rebrickable.com/media/parts/elements/246002.jpg
26,2479,0,1,False,https://cdn.rebrickable.com/media/parts/elements/247926.jpg
26,2486,4,1,False,https://cdn.rebrickable.com/media/parts/elements/248621.jpg
26,2493b,0,2,False,https://cdn.rebrickable.com/media/parts/elements/4109719.jpg
26,2540,4,4,False,https://cdn.rebrickable.com/media/parts/elements/254021.jpg
26,2547,8,1,False,https://cdn.rebrickable.com/media/parts/ldraw/8/2547a.png
26,2548,8,1,False,https://cdn.rebrickable.com/media/parts/ldraw/8/2548.png
26,2569,0,3,False,https://cdn.rebrickable.com/media/parts/elements/6265148.jpg
26,2610,14,2,False,https://cdn.rebrickable.com/media/parts/elements/261024.jpg
26,298c02,4,2,False,https://cdn.rebrickable.com/media/parts/elements/74335.jpg
26,3001,7,5,False,https://cdn.rebrickable.com/media/parts/elements/300102.jpg
